# Query Group 1 Filters: diseases: Alzheimer disease | tissues: brain | cellTypes: neuron
# Query Group 2 Filters: diseases: normal | tissues: brain | cellTypes: neuron
Gene,Log Fold Change,Effect Size,Adjusted P-Value
GASK1B,0.009,0.127,3.772e-107
TBCA,0.069,0.127,0.000e+0
CD247,0.016,0.127,4.354e-171
SETD1A,0.017,0.127,5.697e-182
RCC1,0.021,0.127,5.419e-213
FUS,0.065,0.127,0.000e+0
RP11-724O16.1,0.002,0.127,5.294e-25
LRRC8B,0.077,0.127,0.000e+0
FRMPD2,0.007,0.127,7.664e-99
RP11-84E17.1,0.003,0.127,1.473e-49
MSL3,0.018,0.127,2.860e-183
NELFCD,0.029,0.127,5.955e-246
C3orf80,0.009,0.126,1.690e-113
PPP1R2,0.035,0.126,3.272e-266
B2M,0.033,0.126,9.374e-247
LRCH3,0.062,0.126,0.000e+0
GPATCH2L,0.057,0.126,0.000e+0
SUN1,0.053,0.126,0.000e+0
THAP4,0.022,0.126,4.235e-210
ARHGAP26,0.130,0.126,0.000e+0
ARHGEF12,0.104,0.126,0.000e+0
RP11-380B4.3,0.002,0.126,9.773e-35
FAM200B,0.031,0.126,1.796e-252
TRAPPC12,0.048,0.126,6.142e-304
ZNF791,0.031,0.126,5.703e-257
STAU1,0.048,0.126,0.000e+0
SAE1,0.031,0.126,4.167e-253
SNX8,0.023,0.126,8.697e-213
RAB2A,0.082,0.126,0.000e+0
ZC3H15,0.044,0.126,2.738e-298
RP11-1038A11.1,0.006,0.126,2.086e-90
MIR4458HG,0.012,0.126,1.364e-137
PODXL2,0.065,0.126,0.000e+0
RP11-826N14.2,0.004,0.126,7.584e-63
VPS26B,0.029,0.126,7.753e-243
NUP50-DT,0.038,0.126,5.115e-279
OPRK1,0.012,0.126,1.884e-135
SSH1,0.036,0.126,4.101e-272
TSC1,0.038,0.126,3.045e-276
PRCP,0.022,0.126,1.366e-205
ZBTB41,0.030,0.126,1.785e-248
MRGPRX4,0.001,0.126,1.130e-14
WDSUB1,0.037,0.126,2.014e-277
SLC26A10,0.009,0.126,1.237e-116
CYP4A22-AS1,0.009,0.126,8.158e-114
CCDC22,0.008,0.126,1.604e-103
AC024560.2,0.002,0.126,1.399e-34
LIPC,0.009,0.125,6.881e-110
RP11-78O7.2,0.004,0.125,2.537e-56
PPP1R26,0.014,0.125,1.036e-158
SREK1IP1,0.036,0.125,2.230e-275
SMAD5,0.033,0.125,9.969e-259
NPAS2,0.066,0.125,0.000e+0
RAP1A,0.051,0.125,0.000e+0
LMO7,0.069,0.125,0.000e+0
LINC00159,0.030,0.125,8.548e-251
BOD1L1,0.056,0.125,0.000e+0
RP11-106M3.3,0.021,0.125,7.408e-205
DCTD,0.016,0.125,1.409e-172
CRTC2,0.013,0.125,8.926e-147
PPP6R3,0.077,0.125,0.000e+0
TBC1D23,0.034,0.125,3.615e-261
TTC21B,0.054,0.125,0.000e+0
PABPC1L2A,0.004,0.125,1.150e-55
SUCLG2-AS1,0.016,0.125,2.239e-164
RP11-127B20.2,0.016,0.125,2.188e-170
RP11-231C14.7,0.005,0.125,3.975e-61
FIZ1,0.011,0.125,1.920e-130
TRNP1,0.015,0.125,2.060e-165
HSPA1L,0.003,0.125,8.984e-39
PLEKHB1,0.008,0.125,9.491e-101
WNK3,0.023,0.125,8.384e-206
SNAP91,0.120,0.125,0.000e+0
CCAR1,0.056,0.125,0.000e+0
GIN1,0.010,0.125,4.957e-116
MBD6,0.014,0.125,5.046e-153
POLR2A,0.029,0.125,7.309e-244
AC069513.4,0.007,0.125,1.560e-95
NCOR2,0.051,0.125,5.205e-306
APP-DT,0.011,0.125,1.940e-126
MROH8,0.023,0.125,1.166e-209
PSD3,0.124,0.125,0.000e+0
SSPOP,0.007,0.125,1.309e-86
FBRS,0.016,0.125,4.549e-171
FNDC9,0.008,0.125,5.216e-98
SLC38A6,0.043,0.125,8.383e-286
RP1-93H18.7,0.001,0.124,2.082e-15
ITPKB,0.013,0.124,2.077e-137
SATL1,0.010,0.124,1.314e-122
BMS1,0.026,0.124,6.158e-226
APPBP2,0.052,0.124,0.000e+0
TGFBR3,0.021,0.124,1.435e-188
TPST2,0.023,0.124,2.078e-218
CTD-2282P23.2,0.003,0.124,1.144e-43
RP11-134G8.7,0.004,0.124,2.426e-58
MFSD1,0.024,0.124,2.268e-218
KBTBD6,0.028,0.124,1.123e-238
TPPP3,0.007,0.124,4.092e-92
ENSG00000290791,0.001,0.124,4.077e-16
LINC02137,0.014,0.124,7.352e-148
RAB11FIP1,0.016,0.124,3.623e-170
LNX1,0.059,0.124,8.713e-309
ELAPOR2,0.044,0.124,2.233e-267
NSD1,0.074,0.124,0.000e+0
TRIM52,0.019,0.124,5.524e-186
LRP2BP,0.028,0.124,1.896e-231
RGP1,0.020,0.124,1.103e-193
DGKA,0.015,0.124,4.861e-163
METTL14-DT,0.004,0.124,8.541e-64
FBXL18,0.024,0.124,3.742e-218
SLITRK3,0.018,0.124,8.642e-185
RP11-542G1.1,0.005,0.124,1.038e-70
LTA4H,0.022,0.124,7.111e-208
CTA-243E7.1,0.003,0.124,7.548e-43
ENSG00000271254.6,0.005,0.124,6.196e-76
MT1G,0.008,0.124,4.431e-94
GTPBP1,0.020,0.124,1.860e-190
RP5-827C21.6,0.008,0.124,4.966e-100
NBPF20,0.012,0.124,7.495e-139
RP11-142A5.1,0.025,0.123,1.159e-217
EFCAB14,0.027,0.123,3.763e-228
RPGR,0.020,0.123,1.231e-190
ILDR2,0.030,0.123,2.497e-232
AC114271.2,0.002,0.123,4.030e-27
FBXO25,0.027,0.123,1.887e-231
GPT,0.004,0.123,3.776e-56
RNF207,0.014,0.123,4.054e-153
LRRC73,0.011,0.123,9.822e-133
GFPT2,0.025,0.123,1.000e-219
BCO1,0.008,0.123,9.409e-108
PTCHD1-AS,0.073,0.123,0.000e+0
RPH3AL,0.009,0.123,2.149e-111
U2AF1L5,0.003,0.123,2.813e-50
RP5-1093G23.1,0.011,0.123,4.243e-126
POLE,0.024,0.123,2.853e-213
ZC3H6,0.044,0.123,1.885e-288
FAM174B,0.031,0.123,1.067e-246
FAM160B1,0.026,0.123,3.304e-228
OSER1-DT,0.012,0.123,1.903e-135
ZSCAN18,0.033,0.123,2.259e-254
MAP4K5,0.076,0.123,0.000e+0
RSBN1,0.040,0.123,3.817e-286
ZDHHC11,0.021,0.123,3.878e-204
RP1-90G24.11,0.003,0.123,1.899e-41
CLIP4,0.047,0.123,2.118e-278
WDR61,0.031,0.123,7.332e-244
CDK2AP2,0.013,0.122,5.402e-147
FAM110C,0.005,0.122,2.031e-71
ZNF737,0.014,0.122,6.998e-149
PPP1R21-DT,0.005,0.122,2.582e-75
ZDHHC1,0.014,0.122,9.494e-151
MFAP3,0.030,0.122,2.459e-240
SPATS2L,0.082,0.122,0.000e+0
RAB28,0.065,0.122,0.000e+0
IFIT2,0.007,0.122,1.960e-91
CDK20,0.011,0.122,6.048e-133
CEP192,0.053,0.122,1.265e-298
APPL1,0.040,0.122,1.580e-273
TRAF3IP1,0.030,0.122,2.142e-241
RP11-20I23.13,0.006,0.122,6.816e-78
CACNA2D3,0.149,0.122,0.000e+0
CRABP2,0.008,0.122,7.741e-100
RAB7A,0.058,0.122,0.000e+0
PDCD6IP,0.045,0.122,1.037e-289
CRTAC1,0.033,0.122,2.816e-245
CDR2-DT,0.010,0.122,6.366e-120
ZDHHC23,0.013,0.122,2.082e-143
PSMB8,0.002,0.122,5.360e-31
IPPK,0.021,0.122,1.429e-198
KLHDC8B,0.010,0.122,1.287e-120
RP11-727A23.10,0.014,0.122,1.232e-156
CTD-2168K21.2,0.004,0.122,1.374e-62
EFCAB5,0.023,0.122,5.413e-209
FOXF2,0.003,0.122,1.418e-40
TMEM202-AS1,0.009,0.122,2.958e-115
SLC4A1AP,0.023,0.122,2.335e-210
LINC02080,0.004,0.122,1.593e-63
EXD3,0.036,0.122,1.618e-258
RP11-66B24.9,0.001,0.122,1.432e-20
DGKK,0.007,0.122,4.469e-89
DMXL2,0.069,0.122,0.000e+0
PKP4,0.111,0.122,0.000e+0
LINC02714,0.003,0.122,1.049e-39
DLGAP3,0.034,0.122,1.482e-245
CFAP20DC,0.012,0.122,4.159e-133
N4BP2L2,0.112,0.121,0.000e+0
HAPLN2,0.012,0.121,3.154e-135
SMARCD3,0.042,0.121,2.177e-281
RIMS2,0.132,0.121,0.000e+0
RP11-960B9.3,0.001,0.121,9.224e-24
FAM216A,0.025,0.121,9.045e-219
IQUB,0.014,0.121,1.150e-155
GPIHBP1,0.001,0.121,8.862e-22
SHANK2,0.097,0.121,0.000e+0
AP006621.5,0.019,0.121,4.170e-186
CCDC177,0.003,0.121,2.416e-48
CYSTM1,0.024,0.121,2.565e-212
TSPYL5,0.014,0.121,1.561e-157
AC073343.13,0.022,0.121,1.537e-202
MTMR2,0.037,0.121,2.136e-266
AC006538.4,0.006,0.121,8.202e-85
BLACE,0.004,0.121,8.663e-56
ZNF534,0.012,0.121,1.154e-134
SNX30,0.031,0.121,7.769e-242
MAP3K11,0.016,0.121,7.203e-165
RP11-439E19.7,0.005,0.121,4.333e-68
CTBP1-DT,0.011,0.121,5.184e-124
ALDH3A2,0.030,0.121,1.768e-243
SLC12A1,0.012,0.121,4.874e-135
MAN2A1,0.070,0.121,0.000e+0
PRDM2,0.066,0.121,0.000e+0
CTD-3001H11.2,0.004,0.121,4.828e-61
SLC6A15,0.044,0.121,6.558e-288
CCDC9B,0.003,0.121,1.827e-40
DESI1,0.021,0.121,8.686e-197
ADAM8,0.006,0.121,2.667e-77
IQANK1,0.006,0.121,1.928e-82
RP11-408A13.4,0.006,0.121,1.307e-86
PTPRF,0.049,0.121,0.000e+0
RP1-209A6.1,0.011,0.121,1.755e-129
LYSMD4,0.016,0.121,1.120e-164
CLDN9,0.003,0.121,1.975e-44
RP11-356C4.3,0.004,0.121,4.168e-54
MIA3,0.041,0.121,1.074e-274
ZNF322,0.013,0.121,1.839e-140
COPS6,0.036,0.121,1.545e-257
NT5DC3,0.033,0.121,1.395e-268
KLK7,0.003,0.121,5.587e-43
RP11-10K16.1,0.011,0.121,3.795e-126
MHENCR,0.011,0.120,5.218e-125
IQCB1,0.044,0.120,1.236e-287
LINC01164,0.003,0.120,2.947e-47
TEX15,0.010,0.120,2.872e-118
PPP1CA,0.024,0.120,6.704e-209
PCNX1,0.069,0.120,3.154e-297
SLC2A13,0.120,0.120,0.000e+0
USP25,0.074,0.120,0.000e+0
TRIM22,0.009,0.120,4.904e-111
CTD-2410N18.5,0.012,0.120,1.870e-137
TMEM134,0.014,0.120,8.642e-153
CTD-2515A14.1,0.017,0.120,9.456e-170
ALS2,0.047,0.120,1.016e-289
RP11-294J22.6,0.010,0.120,4.903e-120
FBXL5,0.047,0.120,4.701e-288
JMJD6,0.016,0.120,2.827e-168
HEPN1,0.007,0.120,2.859e-83
BRINP2,0.074,0.120,2.512e-309
IRAK1,0.007,0.120,4.084e-91
RP11-897M7.4,0.009,0.120,2.796e-108
ST13,0.044,0.120,5.787e-282
RP5-921G16.1,0.093,0.120,0.000e+0
SLC9A5,0.018,0.120,4.077e-176
MAP3K3,0.037,0.120,1.157e-258
WDR74,0.016,0.120,2.805e-160
TNIP1,0.016,0.120,1.293e-165
TMEM219,0.023,0.120,1.708e-200
MYPOP,0.016,0.120,7.148e-165
STX7,0.050,0.120,1.220e-295
EIF5A2,0.012,0.120,1.243e-135
PPP2R2A,0.049,0.120,1.053e-288
ASB1,0.011,0.119,1.119e-127
SLC12A2,0.057,0.119,8.435e-298
EYA3,0.047,0.119,1.993e-289
RNF25,0.012,0.119,1.724e-136
LINC00624,0.010,0.119,9.380e-117
FAM90A1,0.005,0.119,3.778e-73
SUGP1,0.024,0.119,3.049e-203
NR2F1,0.056,0.119,0.000e+0
PITPNB,0.039,0.119,1.411e-265
SBF2-AS1,0.019,0.119,1.177e-189
AC004448.5,0.010,0.119,5.516e-117
ARL4C,0.055,0.119,5.020e-279
CTA-292E10.6,0.017,0.119,9.915e-168
MARK3,0.090,0.119,0.000e+0
OSGIN2,0.014,0.119,4.612e-152
GATM-AS1,0.004,0.119,8.797e-59
CDIPT,0.025,0.119,2.050e-216
ELP4,0.063,0.119,0.000e+0
GSTO1,0.022,0.119,4.130e-193
RNF114,0.024,0.119,5.765e-211
HPS4,0.026,0.119,9.416e-218
NYAP1,0.020,0.119,1.247e-186
ARNT2,0.103,0.119,0.000e+0
PAK3,0.117,0.119,0.000e+0
XYLB,0.028,0.119,2.189e-223
IER3,0.005,0.119,2.218e-64
ITGAL,0.010,0.119,4.322e-125
YAF2,0.059,0.119,1.123e-309
PAQR7,0.012,0.119,2.244e-130
CREBBP,0.068,0.119,0.000e+0
ATP6V1D,0.040,0.119,1.003e-270
GAN,0.033,0.119,1.827e-245
METRN,0.015,0.119,4.563e-156
YIPF4,0.047,0.119,4.671e-293
DNASE1L1,0.005,0.119,1.015e-70
MAPKAPK2,0.009,0.119,8.655e-110
FLII,0.016,0.119,3.267e-164
MED9,0.025,0.119,6.492e-234
NAA50,0.034,0.119,4.063e-253
IL1RAP,0.031,0.119,2.319e-221
GFUS,0.012,0.119,7.595e-130
TAPT1-AS1,0.056,0.119,4.491e-285
RP11-66N24.7,0.001,0.119,5.625e-14
